filename,class_md,score,x_norm,y_norm,w_norm,h_norm
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(1).JPG,animal,0.00762,0.7452,0.3834,0.01475,0.05246
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(1).JPG,animal,0.00766,0.7751,0.3217,0.03515,0.03935
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(1).JPG,person,0.0481,0.8628,0.8333,0.1371,0.1157
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(1).JPG,person,0.505,0.8632,0.8904,0.1137,0.05941
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(1).JPG,person,0.975,0.0,0.0,0.2951,0.9483
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(2).JPG,animal,0.00501,0.8441,0.5378,0.01519,0.05478
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(2).JPG,animal,0.0156,0.8732,0.4722,0.03602,0.05324
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(2).JPG,person,0.978,0.0842,0.1018,0.3355,0.8472
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(3).JPG,animal,0.00519,0.9908,0.412,0.009114,0.0949
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(3).JPG,animal,0.00614,0.868,0.4035,0.03689,0.1126
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(3).JPG,animal,0.00868,0.8702,0.4668,0.03515,0.05169
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-16__14-42-19(3).JPG,person,0.978,0.05989,0.0949,0.3355,0.8541
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.00776,0.2439,0.4521,0.01909,0.02932
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.00782,0.2886,0.4436,0.01692,0.03317
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,person,0.00893,0.3532,0.2461,0.1236,0.2731
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,person,0.00948,0.0,0.3094,0.007378,0.1041
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,person,0.0106,0.000434,0.3557,0.04253,0.1527
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.0116,0.3524,0.3449,0.03385,0.1496
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.0116,0.8337,0.3819,0.03949,0.05092
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,person,0.0126,0.0,0.3024,0.01692,0.1882
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.0153,0.3151,0.4475,0.02213,0.02777
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.0163,0.2582,0.4506,0.01345,0.027
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.0165,0.3519,0.2438,0.1263,0.2731
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.0211,0.3359,0.3317,0.01736,0.06095
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,person,0.0232,0.3537,0.3433,0.03168,0.152
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.0253,0.1953,0.4197,0.04296,0.0324
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.0503,0.0,0.4035,0.04557,0.09567
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.0714,0.2925,0.4444,0.0447,0.03858
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.192,0.871,0.4405,0.02951,0.03086
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,animal,0.685,0.0842,0.4444,0.06467,0.05555
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,person,0.726,0.000434,0.3001,0.03862,0.1388
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(1).JPG,person,0.927,0.3081,0.2438,0.1705,0.547
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,animal,0.00551,0.8155,0.4359,0.01996,0.02006
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,animal,0.00649,0.9231,0.4205,0.01953,0.02314
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,animal,0.00706,0.266,0.4467,0.0256,0.03317
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,animal,0.0125,0.9166,0.4212,0.0256,0.04783
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,animal,0.0174,0.8324,0.3819,0.04036,0.05092
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,person,0.0184,0.09895,0.2276,0.1046,0.307
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,animal,0.0243,0.8268,0.4058,0.01779,0.03626
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,animal,0.0313,0.09852,0.2276,0.1054,0.3055
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,animal,0.0572,0.2478,0.4382,0.0421,0.04398
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,animal,0.0894,0.4179,0.4467,0.01128,0.03858
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,animal,0.0964,0.4066,0.4382,0.01649,0.04552
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,animal,0.297,0.8706,0.439,0.03038,0.0324
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(2).JPG,person,0.921,0.05208,0.2276,0.1718,0.5887
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.00793,0.1931,0.4367,0.03602,0.0378
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.0111,0.9231,0.422,0.01909,0.02237
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.016,0.07855,0.4506,0.02907,0.03935
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.0165,0.335,0.3325,0.01866,0.06095
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.0221,0.1935,0.4382,0.05598,0.05787
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.0254,0.4487,0.2337,0.01215,0.03703
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.0324,0.8233,0.3904,0.0434,0.05787
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.037,0.8363,0.3819,0.03645,0.05246
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.0448,0.8237,0.405,0.02083,0.04629
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.156,0.4184,0.4459,0.01128,0.04243
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.179,0.2356,0.5069,0.02387,0.0787
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.226,0.4049,0.439,0.01953,0.04783
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__12-56-20(3).JPG,animal,0.334,0.8706,0.4375,0.02907,0.03549
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__13-47-51(1).JPG,animal,0.00572,0.7786,0.3865,0.02604,0.05015
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__13-47-51(1).JPG,animal,0.0068,0.8823,0.4012,0.01475,0.02623
T24-A-2023-08-02/T24-A-2023-08-02__2022-11-20__13-47-51(1).JPG,animal,0.00794,0.6874,0.405,0.01519,0.03395
