filename,class_md,score,x_norm,y_norm,w_norm,h_norm
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-17__15-25-45(1).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-17__15-25-46(2).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-17__15-25-47(3).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-18__09-46-12(1).JPG,animal,0.958,0.6427,0.4437,0.2307,0.2333
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-18__09-46-13(2).JPG,animal,0.943,0.4828,0.4284,0.1833,0.2333
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-18__09-46-14(3).JPG,animal,0.906,0.3812,0.4159,0.1557,0.193
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-19__13-41-08(1).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-19__13-41-09(2).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-19__13-41-10(3).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-19__17-26-30(1).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-19__17-26-31(2).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-19__17-26-32(3).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-20__12-07-41(1).JPG,animal,0.00664,0.2192,0.2256,0.01458,0.02083
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-20__12-07-41(1).JPG,animal,0.599,0.0,0.7624,0.102,0.1055
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-20__12-07-42(2).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-20__12-07-43(3).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-22__15-11-28(1).JPG,animal,0.00869,0.7067,0.2805,0.02812,0.01666
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-22__15-11-28(1).JPG,animal,0.848,0.3453,0.3965,0.03125,0.06736
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-22__15-11-28(1).JPG,animal,0.946,0.6932,0.5048,0.1057,0.25
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-22__15-11-29(2).JPG,animal,0.00572,0.7057,0.2805,0.0276,0.01805
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-22__15-11-29(2).JPG,animal,0.815,0.4786,0.4437,0.05572,0.09513
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-22__15-11-29(2).JPG,animal,0.961,0.8093,0.568,0.1276,0.3118
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-22__15-11-30(3).JPG,animal,0.0463,0.9729,0.8118,0.02708,0.1187
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-22__15-11-30(3).JPG,animal,0.765,0.6536,0.5166,0.05052,0.1604
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-22__15-11-30(3).JPG,animal,0.897,0.9447,0.6388,0.0552,0.2909
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-23__09-27-42(1).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-23__09-27-43(2).JPG,animal,0.0423,0.5197,0.2624,0.03906,0.03194
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-23__09-27-44(3).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__02-55-29(1).JPG,animal,0.00576,0.2359,0.3013,0.0901,0.06388
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__02-55-29(1).JPG,animal,0.0168,0.2359,0.2999,0.1427,0.09097
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__02-55-30(2).JPG,animal,0.0162,0.5942,0.618,0.05312,0.06666
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__02-55-31(3).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__14-47-47(1).JPG,animal,0.934,0.6104,0.4263,0.2057,0.2208
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__14-47-48(2).JPG,animal,0.946,0.7994,0.4145,0.2005,0.209
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__14-47-49(3).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__15-00-18(1).JPG,animal,0.0072,0.6854,0.6791,0.03593,0.04444
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__15-00-18(1).JPG,animal,0.938,0.6859,0.6791,0.1098,0.1847
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__15-00-19(2).JPG,animal,0.875,0.5338,0.5,0.05937,0.243
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__15-00-20(3).JPG,animal,0.188,0.5406,0.5604,0.075,0.3034
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__15-00-20(3).JPG,animal,0.408,0.5395,0.5597,0.05104,0.1305
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__22-55-24(1).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__22-55-25(2).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-24__22-55-26(3).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-25__01-21-26(1).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-25__01-21-27(2).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-25__01-21-28(3).JPG,animal,0.0268,0.7916,0.2888,0.08489,0.06666
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-25__02-59-43(1).JPG,animal,0.977,0.5708,0.6923,0.3328,0.2381
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-25__02-59-44(2).JPG,animal,0.967,0.5677,0.6645,0.2692,0.2666
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-25__02-59-45(3).JPG,animal,0.896,0.402,0.7506,0.2968,0.1805
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__05-39-57(1).JPG,animal,0.949,0.7817,0.5173,0.2177,0.1756
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__05-39-58(2).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__05-39-58(3).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__05-41-55(1).JPG,animal,0.939,0.7921,0.534,0.1348,0.1375
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__05-41-56(2).JPG,animal,0.877,0.9375,0.5444,0.0625,0.1159
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__05-41-57(3).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__05-44-04(1).JPG,animal,0.941,0.75,0.643,0.1947,0.1833
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__05-44-05(2).JPG,animal,0.932,0.9036,0.6631,0.09635,0.152
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__05-44-06(3).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__06-16-18(1).JPG,animal,0.969,0.6859,0.5826,0.314,0.3479
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__06-16-19(2).JPG,animal,0.955,0.8656,0.6256,0.1343,0.3055
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__06-16-20(3).JPG,animal,0.936,0.8604,0.6256,0.1395,0.3048
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__08-09-06(1).JPG,empty,,,,,
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__08-09-07(2).JPG,animal,0.0115,0.5151,0.2631,0.03333,0.03263
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__08-09-08(3).JPG,animal,0.00742,0.3145,0.2624,0.05468,0.05763
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__08-10-38(1).JPG,animal,0.017,0.3135,0.2625,0.05572,0.05694
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__08-10-39(2).JPG,animal,0.00539,0.313,0.2624,0.05624,0.05763
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-26__08-10-40(3).JPG,animal,0.00668,0.3135,0.2625,0.05572,0.05694
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-28__15-13-36(1).JPG,animal,0.958,0.1864,0.5819,0.1901,0.2972
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-28__15-13-37(2).JPG,animal,0.0102,0.2052,0.6861,0.075,0.07569
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-28__15-13-37(2).JPG,animal,0.94,0.1817,0.577,0.1734,0.3027
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-28__15-13-38(3).JPG,animal,0.00595,0.263,0.1979,0.02343,0.05277
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-28__15-13-38(3).JPG,animal,0.942,0.1833,0.5756,0.1718,0.3027
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-28__15-27-42(1).JPG,animal,0.00997,0.9265,0.4576,0.04374,0.0625
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-28__15-27-42(1).JPG,animal,0.949,0.7635,0.5895,0.1234,0.1805
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-28__15-27-43(2).JPG,animal,0.00564,0.989,0.4361,0.01093,0.06527
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-28__15-27-43(2).JPG,animal,0.0115,0.926,0.4569,0.04322,0.06319
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-28__15-27-43(2).JPG,animal,0.938,0.638,0.5645,0.1156,0.1708
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-28__15-27-44(3).JPG,animal,0.899,0.6015,0.55,0.1088,0.1888
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-29__13-39-57(1).JPG,animal,0.0053,0.9661,0.4555,0.03385,0.06736
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-29__13-39-57(1).JPG,animal,0.0717,0.9302,0.4548,0.06979,0.07291
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-29__13-39-57(1).JPG,animal,0.828,0.9385,0.4562,0.06145,0.2298
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-29__13-39-58(2).JPG,animal,0.928,0.7901,0.4423,0.1963,0.252
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-29__13-39-59(3).JPG,animal,0.943,0.6921,0.4312,0.2036,0.243
G04-B-2023-08-25/G04-B-2023-08-25__2021-12-29__14-59-33(1).JPG,animal,0.93,0.4447,0.577,0.1088,0.1624
