filename,class_md,score,x_norm,y_norm,w_norm,h_norm
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-07-24__10-07-25(1).JPG,empty,,,,,
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-07-24__10-07-26(2).JPG,animal,0.0783,0.0,0.0,0.9989,0.9298
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-07-24__10-07-27(3).JPG,empty,,,,,
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-07-24__10-07-47(4).JPG,person,0.739,0.9322,0.001388,0.0677,0.9243
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-07-24__10-07-48(5).JPG,person,0.97,0.6218,0.1888,0.2791,0.7423
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-07-24__10-07-48(6).JPG,person,0.969,0.5229,0.3256,0.2166,0.6048
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-07-24__10-07-58(7).JPG,empty,,,,,
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-07-24__10-07-59(8).JPG,empty,,,,,
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-07-24__10-08-00(1).JPG,empty,,,,,
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-04__04-03-00(1).JPG,animal,0.0593,0.5786,0.6694,0.1921,0.1506
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-04__04-03-01(2).JPG,animal,0.0302,0.451,0.7569,0.06927,0.1076
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-04__04-03-01(2).JPG,animal,0.22,0.452,0.6715,0.1979,0.1902
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-04__04-03-02(3).JPG,animal,0.406,0.4052,0.6798,0.2026,0.2208
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-12__07-43-03(1).JPG,animal,0.97,0.6156,0.7513,0.2385,0.1791
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-12__07-43-04(2).JPG,animal,0.918,0.6302,0.7444,0.2281,0.1868
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-12__07-43-05(3).JPG,animal,0.958,0.639,0.7416,0.2156,0.1895
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-12__07-43-18(4).JPG,animal,0.787,0.4499,0.8944,0.1734,0.0375
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-12__07-43-18(5).JPG,empty,,,,,
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-12__07-43-19(6).JPG,empty,,,,,
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-14__20-00-47(1).JPG,empty,,,,,
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-14__20-00-48(2).JPG,empty,,,,,
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-14__20-00-48(3).JPG,empty,,,,,
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-20__19-23-08(1).JPG,animal,0.95,0.5729,0.7333,0.3947,0.1979
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-20__19-23-09(2).JPG,animal,0.963,0.6723,0.7041,0.3276,0.2263
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-20__19-23-10(3).JPG,animal,0.964,0.7875,0.6833,0.2125,0.2479
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-14-49(1).JPG,animal,0.826,0.902,0.5451,0.09791,0.3375
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-14-49(2).JPG,animal,0.839,0.9093,0.5479,0.09062,0.3381
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-14-50(3).JPG,animal,0.853,0.8947,0.5993,0.1052,0.3298
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-15-27(1).JPG,animal,0.969,0.6723,0.6083,0.2942,0.3222
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-15-28(2).JPG,animal,0.958,0.6541,0.6027,0.3083,0.3277
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-15-29(3).JPG,animal,0.965,0.6807,0.6187,0.2828,0.3118
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-15-43(4).JPG,animal,0.944,0.5932,0.6145,0.3661,0.3152
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-15-44(5).JPG,animal,0.961,0.5604,0.6256,0.3984,0.3048
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-15-44(6).JPG,animal,0.941,0.5208,0.6888,0.438,0.2423
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-15-58(7).JPG,animal,0.953,0.6317,0.7402,0.2156,0.1909
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-15-59(8).JPG,animal,0.875,0.6463,0.8104,0.1401,0.1208
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-08-24__01-16-00(1).JPG,animal,0.941,0.6718,0.7951,0.2578,0.1361
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-09-01__17-40-58(1).JPG,animal,0.00991,0.1734,0.484,0.02708,0.04722
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-09-01__17-40-58(1).JPG,animal,0.955,0.6307,0.827,0.2708,0.1041
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-09-01__17-40-59(2).JPG,animal,0.0118,0.1739,0.484,0.0276,0.04722
Q07-A-2023-10-18/Q07-A-2023-10-18__2020-09-01__17-40-59(2).JPG,animal,0.96,0.6911,0.8201,0.2723,0.1111
