filename,class_md,score,x_norm,y_norm,w_norm,h_norm
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-17__14-23-33(1).JPG,person,0.972,0.126,0.1805,0.3395,0.75
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-17__14-23-33(1).JPG,person,0.976,0.5302,0.218,0.364,0.7124
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-17__14-24-18(1).JPG,person,0.94,0.4317,0.2666,0.338,0.6638
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-17__14-24-18(1).JPG,person,0.976,0.0,0.2118,0.3171,0.7187
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-17__14-25-41(1).JPG,person,0.00928,0.6265,0.0,0.3718,0.9208
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-17__14-25-41(1).JPG,person,0.192,0.626,0.8305,0.3734,0.1013
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-17__14-25-41(1).JPG,animal,0.664,0.626,0.834,0.3739,0.09722
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-17__14-25-42(2).JPG,empty,,,,,
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-17__14-25-43(3).JPG,empty,,,,,
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-20__08-50-51(1).JPG,animal,0.964,0.5645,0.5958,0.2187,0.3347
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-20__08-50-52(2).JPG,animal,0.965,0.5598,0.6027,0.2281,0.3277
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-07-20__08-50-53(3).JPG,animal,0.971,0.5718,0.6326,0.1916,0.2979
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-02__11-55-32(1).JPG,animal,0.957,0.676,0.4673,0.1322,0.4631
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-02__11-55-33(2).JPG,animal,0.962,0.626,0.4576,0.1505,0.4722
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-02__11-55-34(3).JPG,animal,0.975,0.5885,0.5076,0.1994,0.4229
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-11__09-44-40(1).JPG,animal,0.00712,0.6645,0.843,0.0375,0.03263
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-11__09-44-40(1).JPG,animal,0.973,0.639,0.4312,0.1624,0.4993
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-11__09-44-41(2).JPG,animal,0.975,0.6583,0.4541,0.1875,0.4763
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-11__09-44-42(3).JPG,animal,0.977,0.5619,0.4618,0.227,0.4687
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-24__13-00-57(1).JPG,empty,,,,,
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-24__13-00-58(2).JPG,empty,,,,,
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-24__13-00-59(3).JPG,empty,,,,,
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-25__15-00-13(1).JPG,animal,0.00757,0.6729,0.8416,0.0401,0.0368
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-25__15-00-13(1).JPG,animal,0.0101,0.6859,0.5687,0.04062,0.1437
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-25__15-00-13(1).JPG,animal,0.0202,0.0,0.7458,0.6114,0.1868
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-25__15-00-13(1).JPG,animal,0.0228,0.6005,0.4979,0.2036,0.4333
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-25__15-00-13(1).JPG,animal,0.0938,0.001041,0.7812,0.3098,0.1493
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-25__15-00-13(1).JPG,animal,0.968,0.0005208,0.4986,0.8015,0.4312
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-25__15-00-14(2).JPG,animal,0.0118,0.6609,0.8423,0.05052,0.02916
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-25__15-00-14(2).JPG,animal,0.966,0.0,0.4472,1.0,0.4819
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-25__15-00-15(3).JPG,animal,0.944,0.03802,0.6826,0.9614,0.2479
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-31__12-56-23(1).JPG,animal,0.911,0.1817,0.5493,0.3307,0.3055
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-31__12-56-24(2).JPG,animal,0.928,0.2499,0.5229,0.3369,0.2874
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-31__12-56-25(3).JPG,animal,0.00824,0.3328,0.6215,0.05364,0.1055
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-31__12-56-25(3).JPG,animal,0.00949,0.3354,0.6201,0.1,0.1277
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-08-31__12-56-25(3).JPG,animal,0.908,0.3369,0.4972,0.3276,0.3118
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-09-03__12-18-57(1).JPG,empty,,,,,
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-09-03__12-18-58(2).JPG,empty,,,,,
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-09-03__12-18-58(3).JPG,empty,,,,,
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-09-06__06-57-29(1).JPG,animal,0.00547,0.9348,0.7194,0.0651,0.09236
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-09-06__06-57-29(1).JPG,animal,0.00745,0.8718,0.7187,0.1281,0.1041
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-09-06__06-57-29(1).JPG,animal,0.00905,0.6598,0.8409,0.05989,0.03819
Q12-C-2023-08-11/Q12-C-2023-08-11__2020-09-06__06-57-29(1).JPG,animal,0.0194,0.5338,0.9055,0.06562,0.02569
