filename,class_md,score,x_norm,y_norm,w_norm,h_norm
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-20__03-53-25(1).JPG,person,0.00566,0.9708,0.6465,0.02916,0.2847
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-20__03-53-25(1).JPG,animal,0.277,0.001041,0.0,0.638,0.9291
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-20__03-53-26(2).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-20__03-53-27(3).JPG,animal,0.00657,0.01406,0.04722,0.02916,0.03819
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-22__19-59-35(1).JPG,animal,0.89,0.8838,0.4701,0.1161,0.1048
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-22__19-59-36(2).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-22__19-59-37(3).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__04-03-35(1).JPG,animal,0.0164,0.2755,0.4645,0.05624,0.09513
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__04-03-35(1).JPG,animal,0.87,0.1609,0.4625,0.1687,0.1368
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__04-03-36(2).JPG,animal,0.00512,0.2921,0.5152,0.05937,0.0625
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__04-03-36(2).JPG,animal,0.049,0.3765,0.4638,0.03906,0.07013
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__04-03-36(2).JPG,animal,0.741,0.2395,0.4645,0.1708,0.1229
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__04-03-36(3).JPG,animal,0.831,0.2614,0.475,0.1609,0.1201
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__14-11-51(1).JPG,animal,0.93,0.5364,0.4402,0.1682,0.1819
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__14-11-52(2).JPG,animal,0.951,0.464,0.4395,0.2031,0.1965
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__14-11-53(3).JPG,animal,0.928,0.4062,0.4423,0.1911,0.1888
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__23-38-19(1).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__23-38-20(2).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-24__23-38-20(3).JPG,animal,0.0552,0.5739,0.2937,0.01979,0.02222
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-25__00-11-39(1).JPG,animal,0.00961,0.4213,0.4736,0.04427,0.0618
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-25__00-11-40(2).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-25__00-11-41(3).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-25__00-18-14(1).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-25__00-18-15(2).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-25__00-18-16(3).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-25__01-06-46(1).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-25__01-06-47(2).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-25__01-06-48(3).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-26__21-22-53(1).JPG,animal,0.112,0.6557,0.1833,0.05624,0.05833
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-26__21-22-54(2).JPG,empty,,,,,
K15-B-2023-08-26/K15-B-2023-08-26__2020-08-26__21-22-55(3).JPG,animal,0.00545,0.4265,0.4395,0.02968,0.09513
