filename,class_md,score,x_norm,y_norm,w_norm,h_norm
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-22__17-46-10(1).JPG,animal,0.0772,0.0,0.0,1.0,0.9291
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-22__17-46-10(2).JPG,empty,,,,,
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-22__17-46-10(3).JPG,empty,,,,,
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-33-48(1).JPG,animal,0.48,0.5093,0.5972,0.07604,0.07986
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-33-48(2).JPG,animal,0.533,0.5531,0.6006,0.06041,0.06875
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-33-48(3).JPG,animal,0.39,0.5541,0.5979,0.05156,0.06388
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-44-42(1).JPG,animal,0.00718,0.6515,0.5756,0.04062,0.03819
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-44-42(1).JPG,animal,0.00728,0.6796,0.5965,0.04947,0.07083
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-44-42(1).JPG,animal,0.00774,0.652,0.543,0.1062,0.08194
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-44-42(1).JPG,animal,0.0597,0.6869,0.5986,0.0401,0.0375
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-44-42(1).JPG,animal,0.109,0.651,0.5743,0.08437,0.0618
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-44-42(1).JPG,animal,0.698,0.6302,0.5847,0.09531,0.1076
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-44-42(2).JPG,animal,0.00866,0.9505,0.4895,0.04947,0.06111
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-44-42(2).JPG,animal,0.0116,0.6958,0.5972,0.05052,0.05416
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-44-42(2).JPG,animal,0.58,0.6958,0.6013,0.0526,0.1069
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-44-42(3).JPG,animal,0.0121,0.6406,0.5687,0.0802,0.05763
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__14-44-42(3).JPG,animal,0.396,0.6979,0.6027,0.04687,0.1055
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__15-16-58(1).JPG,animal,0.0381,0.06927,0.6506,0.3036,0.1263
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__15-16-58(1).JPG,animal,0.918,0.06666,0.6506,0.3067,0.2798
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__15-16-58(2).JPG,animal,0.938,0.302,0.7034,0.3802,0.2277
M26-B-2022-11-11/M26-B-2022-11-11__2020-07-31__15-16-58(3).JPG,animal,0.957,0.6744,0.7444,0.275,0.1868
M26-B-2022-11-11/M26-B-2022-11-11__2020-08-10__20-52-16(1).JPG,animal,0.0107,0.7703,0.3944,0.2296,0.3645
M26-B-2022-11-11/M26-B-2022-11-11__2020-08-10__20-52-16(1).JPG,animal,0.152,0.0,0.0,0.9989,0.925
M26-B-2022-11-11/M26-B-2022-11-11__2020-08-10__20-52-16(2).JPG,animal,0.101,0.0,0.0,0.9994,0.9284
M26-B-2022-11-11/M26-B-2022-11-11__2020-08-10__20-52-16(3).JPG,animal,0.0819,0.0,0.0006944,0.9994,0.9215
