filename,class_md,score,x_norm,y_norm,w_norm,h_norm
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-25-40(1).JPG,person,0.918,0.3942,0.3597,0.2192,0.4027
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-25-40(2).JPG,person,0.936,0.4343,0.3631,0.1906,0.3979
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-25-40(3).JPG,person,0.0114,0.08385,0.002083,0.9161,0.4166
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-25-40(3).JPG,person,0.271,0.6499,0.0,0.3494,0.4236
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-25-40(3).JPG,person,0.908,0.4291,0.3638,0.1838,0.3993
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-26-34(1).JPG,person,0.921,0.4208,0.1041,0.1166,0.6125
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-26-34(1).JPG,person,0.95,0.5312,0.1277,0.1817,0.7451
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-26-36(1).JPG,person,0.919,0.5291,0.1465,0.1765,0.6402
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-26-36(1).JPG,person,0.92,0.4197,0.1055,0.1197,0.6131
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-26-36(2).JPG,person,0.00665,0.6765,0.2916,0.06666,0.4527
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-26-36(2).JPG,person,0.921,0.5468,0.125,0.1927,0.6798
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-26-36(2).JPG,person,0.935,0.425,0.1041,0.1296,0.6125
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-46-38(1).JPG,empty,,,,,
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-46-38(2).JPG,empty,,,,,
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-05__08-46-38(3).JPG,empty,,,,,
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-06__21-05-46(1).JPG,empty,,,,,
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-06__21-05-48(1).JPG,animal,0.0247,0.8729,0.8562,0.01718,0.075
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-06__21-05-48(2).JPG,animal,0.203,0.8729,0.859,0.01718,0.07152
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-09__13-51-34(1).JPG,animal,0.949,0.5869,0.5486,0.1302,0.1152
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-09__13-51-36(1).JPG,animal,0.926,0.5697,0.5381,0.1135,0.1215
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-09__13-51-36(2).JPG,animal,0.956,0.5416,0.5368,0.1234,0.118
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-12__12-35-38(1).JPG,animal,0.944,0.4843,0.4868,0.1182,0.1493
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-12__12-35-38(2).JPG,animal,0.849,0.389,0.4708,0.1119,0.1437
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-12__12-35-38(3).JPG,animal,0.88,0.2755,0.4354,0.1203,0.1305
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-12__12-37-44(1).JPG,animal,0.971,0.1072,0.4368,0.2385,0.2229
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-12__12-37-44(2).JPG,animal,0.962,0.1661,0.4451,0.1624,0.2472
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-12__12-37-44(3).JPG,animal,0.965,0.1656,0.4458,0.1635,0.2333
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-12__12-38-44(1).JPG,animal,0.972,0.2921,0.5756,0.1546,0.3548
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-12__12-38-44(2).JPG,animal,0.979,0.2875,0.5166,0.1812,0.4138
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-12__12-38-44(3).JPG,animal,0.976,0.314,0.5152,0.1526,0.4152
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-13__04-24-00(1).JPG,animal,0.847,0.364,0.4374,0.1875,0.1965
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-13__04-24-00(2).JPG,animal,0.944,0.3901,0.4486,0.1822,0.2006
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-13__04-24-00(3).JPG,animal,0.943,0.4291,0.4506,0.15,0.2
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-13__04-25-14(1).JPG,animal,0.933,0.7447,0.5611,0.1651,0.1979
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-13__04-25-14(2).JPG,animal,0.88,0.7442,0.5638,0.1624,0.1909
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-13__04-25-14(3).JPG,animal,0.839,0.7447,0.5666,0.1651,0.1687
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-13__04-31-40(1).JPG,animal,0.915,0.0,0.3118,0.1312,0.393
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-13__04-31-40(2).JPG,animal,0.697,0.0,0.3715,0.08593,0.3208
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-13__04-31-40(3).JPG,animal,0.901,0.0,0.3937,0.1218,0.3152
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-16__18-02-10(1).JPG,animal,0.752,0.3572,0.45,0.139,0.1638
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-16__18-02-10(2).JPG,animal,0.789,0.3583,0.4583,0.1322,0.1548
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-16__18-02-10(3).JPG,animal,0.864,0.3572,0.4576,0.1338,0.1576
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-16__18-03-56(1).JPG,animal,0.944,0.5026,0.4805,0.1286,0.1708
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-16__18-03-56(2).JPG,animal,0.915,0.5046,0.4743,0.1171,0.1729
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-16__18-03-56(3).JPG,animal,0.905,0.5078,0.477,0.1104,0.1618
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__07-59-56(1).JPG,animal,0.00936,0.5249,0.3472,0.07083,0.1069
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__07-59-56(2).JPG,animal,0.00571,0.5213,0.3465,0.07552,0.1124
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__07-59-56(3).JPG,animal,0.00594,0.5156,0.3506,0.0802,0.1069
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__07-59-56(3).JPG,animal,0.0392,0.5166,0.3208,0.1307,0.127
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__20-29-20(1).JPG,animal,0.00671,0.4041,0.6229,0.03281,0.03055
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__20-29-20(1).JPG,animal,0.819,0.3906,0.8868,0.164,0.04444
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__20-29-20(2).JPG,animal,0.954,0.4713,0.7833,0.1697,0.1479
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__20-29-20(3).JPG,animal,0.00675,0.4031,0.6229,0.03437,0.03055
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__20-29-20(3).JPG,animal,0.0106,0.4156,0.6229,0.03697,0.03055
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__20-29-20(3).JPG,animal,0.969,0.4739,0.7652,0.1677,0.1659
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__20-30-16(1).JPG,animal,0.924,0.6067,0.5763,0.0776,0.177
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__20-30-16(2).JPG,animal,0.908,0.5671,0.577,0.1229,0.1666
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__20-30-16(3).JPG,animal,0.00829,0.4098,0.6229,0.03697,0.03194
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-17__20-30-16(3).JPG,animal,0.89,0.5255,0.5624,0.1619,0.1763
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-20__17-49-44(1).JPG,animal,0.886,0.6302,0.4999,0.1677,0.168
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-20__17-49-44(2).JPG,animal,0.882,0.5901,0.4395,0.1786,0.2208
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-20__17-49-44(3).JPG,animal,0.747,0.5838,0.4055,0.138,0.25
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-20__17-52-14(1).JPG,animal,0.906,0.313,0.4305,0.226,0.1944
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-20__17-52-16(1).JPG,animal,0.926,0.4203,0.4513,0.1979,0.1868
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-20__17-52-16(2).JPG,animal,0.919,0.4619,0.4631,0.2244,0.1875
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-21__11-21-42(1).JPG,empty,,,,,
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-21__11-21-42(2).JPG,empty,,,,,
N8-A-2022-11-02/N8-A-2022-11-02__2020-08-21__11-21-44(1).JPG,empty,,,,,
