filename,class_md,score,x_norm,y_norm,w_norm,h_norm
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-08(1).JPG,person,0.97,0.151,0.0,0.2817,0.893
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-09(2).JPG,person,0.816,0.005729,0.1243,0.1401,0.4743
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-09(2).JPG,person,0.916,0.2723,0.02569,0.2947,0.8951
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-10(3).JPG,person,0.903,0.1406,0.1347,0.1432,0.4944
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-10(3).JPG,person,0.931,0.3468,0.3243,0.3114,0.5965
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-15(4).JPG,person,0.891,0.4088,0.2,0.09739,0.2666
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-15(4).JPG,person,0.958,0.3302,0.3361,0.327,0.593
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-16(5).JPG,person,0.867,0.3505,0.2006,0.09322,0.2048
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-16(5).JPG,person,0.963,0.3286,0.3298,0.3489,0.5993
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-17(6).JPG,person,0.111,0.314,0.2076,0.07031,0.209
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-17(6).JPG,person,0.962,0.3302,0.3444,0.3062,0.5847
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-23(7).JPG,person,0.879,0.5567,0.1534,0.1468,0.5118
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-24(8).JPG,person,0.843,0.7963,0.1673,0.1161,0.5229
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-25(9).JPG,animal,0.00855,0.5182,0.3263,0.07187,0.09513
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-25(9).JPG,animal,0.0381,0.5187,0.327,0.04479,0.06458
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-29(10).JPG,animal,0.0274,0.0005208,0.1861,0.06458,0.2673
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-29(10).JPG,animal,0.365,0.0,0.1874,0.03958,0.109
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-29(10).JPG,person,0.851,0.7703,0.1847,0.1666,0.484
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-30(11).JPG,animal,0.414,0.09062,0.2208,0.08177,0.2034
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-30(11).JPG,person,0.927,0.5468,0.1506,0.1343,0.4777
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-31(12).JPG,person,0.00695,0.1755,0.2111,0.08802,0.2659
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-31(12).JPG,person,0.671,0.1765,0.2118,0.05937,0.1722
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-31(12).JPG,person,0.919,0.3302,0.1277,0.1635,0.5666
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-35(13).JPG,person,0.984,0.09843,0.0,0.4979,0.9027
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-36(14).JPG,person,0.921,0.001041,0.0,0.901,0.9298
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-37(15).JPG,person,0.753,0.0,0.0,0.9989,0.9333
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-30-37(15).JPG,person,0.779,0.6369,0.2166,0.06875,0.1972
P9-A-2021-09-15/P9-A-2021-09-15__2020-05-20__11-52-56(1).JPG,animal,0.00744,0.0005208,0.5277,0.1093,0.1138
